detail_id,domain_id,name,unit,frequency,detail_type,entity_level,description,notes
fin.exchange_rate_usd_pln,FIN,USD/PLN Exchange Rate,PLN,daily,indicator,national,US dollar to Polish zloty mid-rate,NBP table A
fin.exchange_rate_eur_pln,FIN,EUR/PLN Exchange Rate,PLN,daily,indicator,national,Euro to Polish zloty mid-rate,NBP table A
fin.exchange_rate_chf_pln,FIN,CHF/PLN Exchange Rate,PLN,daily,indicator,national,Swiss franc to Polish zloty mid-rate,NBP table A; high relevance for CHF-mortgage borrowers
fin.exchange_rate_gbp_pln,FIN,GBP/PLN Exchange Rate,PLN,daily,indicator,national,British pound to Polish zloty mid-rate,NBP table A
fin.reference_rate,FIN,NBP Reference Rate,%,irregular,indicator,national,NBP monetary policy reference interest rate,Set by RPP; irregular — decision dates only
fin.wibor_1m,FIN,WIBOR 1M,%,daily,indicator,national,1-month Warsaw Interbank Offered Rate,Published daily on fixing days
fin.wibor_3m,FIN,WIBOR 3M,%,daily,indicator,national,3-month Warsaw Interbank Offered Rate,Benchmark for most variable-rate mortgages
fin.wibor_6m,FIN,WIBOR 6M,%,daily,indicator,national,6-month Warsaw Interbank Offered Rate,Published daily on fixing days
fin.wig20_index,FIN,WIG20 Index,index,daily,indicator,national,Warsaw Stock Exchange blue-chip index (top 20 companies),GPW; base 1000 = 16 April 1994
fin.wig_index,FIN,WIG Total Return Index,index,daily,indicator,national,Broad Warsaw Stock Exchange total-return index,GPW; includes dividends
fin.bond_yield_10y,FIN,10Y Government Bond Yield,%,daily,indicator,national,Polish 10-year sovereign bond yield on secondary market,MF / Bloomberg benchmark
fin.bond_yield_2y,FIN,2Y Government Bond Yield,%,daily,indicator,national,Polish 2-year sovereign bond yield on secondary market,MF / Bloomberg benchmark
fin.banking_npl_ratio,FIN,Banking Sector NPL Ratio,%,quarterly,indicator,sectoral,Share of non-performing loans in total bank loan portfolio,KNF supervisory data
fin.banking_capital_ratio,FIN,Banking Sector Capital Adequacy Ratio,%,quarterly,indicator,sectoral,Total capital ratio (TCR) of the banking sector,KNF; Basel III definition
fin.stock_price,FIN,Stock Price (GPW),PLN,daily,micro_indicator,company,Closing price of individual equity listed on GPW,GPW; entity = company (dim_company)
fin.stock_volume,FIN,Stock Trading Volume (GPW),shares,daily,micro_indicator,company,Daily trading volume for individual GPW-listed equity,GPW; entity = company (dim_company)
fin.tge_electricity_price,FIN,TGE Day-Ahead Electricity Price,PLN/MWh,daily,indicator,national,BASE day-ahead electricity market price on TGE,Towarowa Giełda Energii (TGE)
pub.state_budget_revenue,PUB,State Budget Revenue,PLN mn,monthly,indicator,national,Total state budget revenue (cumulative year-to-date),MF monthly budget execution report
pub.state_budget_expenditure,PUB,State Budget Expenditure,PLN mn,monthly,indicator,national,Total state budget expenditure (cumulative year-to-date),MF monthly budget execution report
