source_id,name,provider,category,tier,url,api_url,auth_type,auth_env_var,format,update_frequency,notes
bdl,Bank Danych Lokalnych,GUS,statistical_office,1,https://bdl.stat.gov.pl,https://bdl.stat.gov.pl/api/v1,api_key,BDL_API_KEY,json,annual,Largest Polish local statistics DB. Anonymous access works but api_key raises limits (5→10 req/s). Header: X-ClientId.
dbw,Dziedzinowe Bazy Wiedzy,GUS,statistical_office,1,https://dbw.stat.gov.pl,https://api-dbw.stat.gov.pl/api/v1,api_key,DBW_API_KEY,json,annual,Thematic knowledge bases. Same rate limits as BDL. Docs at api-dbw.stat.gov.pl/apidocs.
sdp,Składnica Danych Publikacyjnych,GUS,statistical_office,1,https://api.stat.gov.pl/Home/SDPApi,https://api-sdp.stat.gov.pl/api/v1,api_key,SDP_API_KEY,json,monthly,Full public statistics — data and metadata in consistent structure. Docs at api-sdp.stat.gov.pl/apidocs.
smup,System Monitorowania Usług Publicznych,GUS,statistical_office,1,https://smup.gov.pl,https://api.stat.gov.pl/Home/SMUPApi,none,,json,annual,Public services monitoring at municipality level.
strateg,Strateg,GUS,statistical_office,1,https://strateg.stat.gov.pl,https://api.stat.gov.pl/Home/StrategApi,none,,json,annual,Regional development and social cohesion monitoring.
sdg,Krajowa Platforma Raportująca SDG,GUS,statistical_office,1,https://sdg.gov.pl,https://api.stat.gov.pl/Home/SDGApi,none,,json,annual,UN Sustainable Development Goals monitoring for Poland.
regon,Rejestr REGON,GUS,statistical_office,1,https://api.stat.gov.pl/Home/RegonApi,https://api.stat.gov.pl/regon,api_key,REGON_API_KEY,xml,daily,Official Polish business register. Requires registration. Returns XML only.
teryt,Rejestr TERYT,GUS,statistical_office,1,https://api.stat.gov.pl/Home/TerytApi,https://api.stat.gov.pl/teryt,none,,xml,irregular,Official administrative division codes and names. Historical data available.
transtat,TranStat,GUS,statistical_office,1,https://transtat.stat.gov.pl,https://api-transtat.stat.gov.pl,none,,json,quarterly,Experimental road and maritime transport statistics.
bdm,Bank Danych Makroekonomicznych,GUS,statistical_office,2,https://bdm.stat.gov.pl,,none,,xlsx,monthly,Key macroeconomic indicators. No public API — file downloads only.
demografia,Baza Demografia,GUS,statistical_office,2,https://demografia.stat.gov.pl,,none,,xlsx,annual,Demographic data portal. File download only.
bdp,Bank Danych Polska,GUS,statistical_office,2,https://bdp.stat.gov.pl,,none,,xlsx,annual,Multi-sector local statistics. File download only.
dekompozycje,Dekompozycje,GUS,statistical_office,2,https://dekompozycje.stat.gov.pl,,none,,xlsx,irregular,Statistical decomposition analyses. File download only.
eurostat,Eurostat,Eurostat,statistical_office,1,https://ec.europa.eu/eurostat,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0,none,,json,monthly,Main EU statistical office. REST API with SDMX support. No auth required.
oecd,OECD Data Explorer,OECD,international_body,1,https://data-explorer.oecd.org,https://sdmx.oecd.org/public/rest,none,,json,quarterly,OECD macroeconomic and policy data. SDMX REST API.
worldbank,World Development Indicators,World Bank,international_body,1,https://databank.worldbank.org,https://api.worldbank.org/v2,none,,json,quarterly,Global development indicators. Free REST API — no auth required.
ilostat,ILOSTAT,ILO,international_body,1,https://ilostat.ilo.org/data,https://sdmx.ilo.org/rest,none,,json,quarterly,International Labour Organization statistics. SDMX REST API.
imf,World Economic Outlook,IMF,international_body,1,https://www.imf.org/en/Publications/SPROLLs/world-economic-outlook-databases,https://www.imf.org/external/datamapper/api/v1,none,,json,biannual,IMF macroeconomic data for most countries. Free API.
faostat,FAOSTAT,FAO,international_body,1,https://www.fao.org/faostat,https://fenixservices.fao.org/faostat/api/v1,none,,json,annual,UN Food and Agriculture data. Free REST API.
wto,WTO STATS,WTO,international_body,1,https://stats.wto.org,https://api.wto.org/timeseries/v1,api_key,WTO_API_KEY,json,quarterly,World trade statistics. Free API key required after registration.
un_wpp,UN World Population Prospects,UN,international_body,1,https://population.un.org/wpp,https://population.un.org/dataportal/api/v1,none,,json,biannual,UN demographic estimates and projections to 2100 by age and sex.
nbp,Narodowy Bank Polski,NBP,central_bank,1,https://nbp.pl,https://api.nbp.pl/api,none,,json,daily,"Exchange rates (tables A/B/C) and gold prices. No auth. Max 93-day window per query. JSON and XML available. HTTPS mandatory since Aug 2025."
gpw,Giełda Papierów Wartościowych,GPW,exchange,2,https://www.gpw.pl,,none,,csv,daily,Warsaw Stock Exchange prices and indices. No public REST API — historical data downloadable as CSV/XLS from the website.
knf,Komisja Nadzoru Finansowego,KNF,regulator,2,https://www.knf.gov.pl,,none,,xlsx,quarterly,"Financial sector supervisory statistics: banking, insurance, capital markets, payment services. File downloads only. No public API."
nfz,Narodowy Fundusz Zdrowia,NFZ,ministry,1,https://www.nfz.gov.pl,https://api.nfz.gov.pl/app-stat-api-jgp,none,,json,annual,"Hospital procedure statistics (JGP/DRG groups). JSON API (JSON:API spec). No auth. Covers hospitalisations by gender, age, diagnosis, ICD-10, procedure."
gis,Główny Inspektorat Sanitarny,GIS,regulator,2,https://www.gov.pl/web/gis,,none,,xlsx,irregular,"Epidemiological surveillance: communicable diseases, foodborne outbreaks, vaccination coverage. Periodic Excel reports. No public API."
pse,Polskie Sieci Elektroenergetyczne,PSE,regulator,1,https://www.pse.pl,https://api.raporty.pse.pl,none,,json,daily,"Electricity grid operations: generation by source, cross-border flows, system balancing, demand. Near real-time and historical data. No auth required."
ure,Urząd Regulacji Energetyki,URE,regulator,2,https://www.ure.gov.pl,,none,,xlsx,annual,Energy regulatory data: tariff approvals and sector statistics. Annual reports and Excel files. No public API.
gios,Główny Inspektorat Ochrony Środowiska,GIOS,regulator,1,https://powietrze.gios.gov.pl,https://powietrze.gios.gov.pl/pjp/content/api,none,,json,daily,"Air quality monitoring (JPOAT network). JSON-LD API. Rate limit ~2 req/min. Covers PM2.5, PM10, NO2, SO2, O3 at national stations."
kobize,Krajowy Ośrodek Bilansowania i Zarządzania Emisjami,KOBIZE,regulator,2,https://www.kobize.pl,,none,,xlsx,annual,"National GHG emissions inventory and projections (UNFCCC/EU reporting). Excel and PDF publications. No public API."
utk,Urząd Transportu Kolejowego,UTK,regulator,1,https://dane.utk.gov.pl,,none,,json,annual,Railway transport statistics open data portal: passenger numbers and freight by operator. JSON and CSV downloads. No auth.
gddkia,Generalna Dyrekcja Dróg Krajowych i Autostrad,GDDKiA,ministry,1,https://kpd.gddkia.gov.pl,,none,,json,annual,National road network access point (EKSD/KPD): road conditions and traffic counts. JSON API. No auth.
kowr,Krajowy Ośrodek Wsparcia Rolnictwa,KOWR,ministry,2,https://www.kowr.gov.pl,,none,,xlsx,irregular,Agricultural market support data: state farmland sales and market interventions. Excel reports. No public API.
arimir,Agencja Restrukturyzacji i Modernizacji Rolnictwa,ARiMR,ministry,2,https://www.arimr.gov.pl,,none,,xlsx,annual,"EU agricultural subsidy payments (CAP direct payments, rural development). File downloads. No public API."
dane_gov,Portal Otwartych Danych,MC,ministry,1,https://dane.gov.pl,https://api.dane.gov.pl/1.4,none,,json,irregular,Polish national open data portal aggregating datasets from ministries and agencies. JSON:API format. No auth. Supports filtering and pagination.
zus,Zakład Ubezpieczeń Społecznych,ZUS,regulator,2,https://psz.zus.pl,,none,,xlsx,annual,"Social insurance statistics: pension recipients, benefits, employment registrations, insured persons. Excel reports via ZUS statistical portal."
mrpips,Ministerstwo Rodziny i Polityki Społecznej,MRPiPS,ministry,2,https://www.gov.pl/web/rodzina,,none,,xlsx,monthly,"Labour and social policy statistics from employment offices: registered unemployment, job offers, benefits. Monthly Excel files."
mf,Ministerstwo Finansów — Dane Budżetowe,MF,ministry,2,https://www.gov.pl/web/finanse,,none,,xlsx,monthly,"Public finance statistics: budget execution, tax revenues by type, public debt. Monthly and annual Excel publications."
policja,Komenda Główna Policji — Statystyki,KGP,ministry,2,https://www.policja.pl,,none,,xlsx,annual,"Crime statistics by type, voivodeship, and year. Road accident data. Annual Excel files from Police HQ."
ms_stat,Ministerstwo Sprawiedliwości — Statystyki Sądowe,MS,ministry,2,https://isws.ms.gov.pl,,none,,xlsx,annual,"Judicial statistics: court proceedings, convictions, prison population, legal aid. Annual Excel from Ministry of Justice."
uke,Urząd Komunikacji Elektronicznej,UKE,regulator,2,https://www.uke.gov.pl,,none,,xlsx,annual,"Telecom and internet market data: broadband penetration, mobile subscribers, postal services. Annual Excel reports."
pot,Polska Organizacja Turystyczna,POT,ngo,2,https://www.pot.gov.pl,,none,,xlsx,annual,Tourism statistics: inbound/outbound travel and tourist accommodation. Excel reports and publications.
ecb,European Central Bank,ECB,central_bank,1,https://data.ecb.europa.eu,https://data-api.ecb.europa.eu/service,none,,json,monthly,"Euro area monetary statistics, exchange rates, interest rates, and banking sector data. SDMX 2.1 REST API. No auth. Supports JSON, CSV, and SDMX-ML formats."
tge,Towarowa Giełda Energii,TGE,exchange,2,https://tge.pl,,none,,xlsx,daily,"Polish Power Exchange: electricity spot and forward prices, gas prices, CO2 certificate (EUA) prices. File downloads. No public REST API. Also relevant for ENE domain."
gpw_benchmark,GPW Benchmark,GPW,exchange,2,https://gpwbenchmark.pl,,none,,xlsx,daily,"Polish interbank reference rates: WIBOR (1M, 3M, 6M, 12M) and WIRON. Daily Excel/CSV files. WIBOR being phased out and replaced by WIRON."
bis,Bank for International Settlements,BIS,international_body,1,https://stats.bis.org,https://stats.bis.org/api/v1,none,,json,quarterly,"International banking statistics, cross-border flows, debt securities, and derivatives markets. SDMX REST API. No auth required."
kas,Krajowa Administracja Skarbowa,KAS,ministry,2,https://www.kas.gov.pl,,none,,xlsx,monthly,"Tax collection statistics by type: VAT, PIT, CIT, excise, customs duties. Monthly Excel publications. Data also available via dane.gov.pl. No public API."
mf_dlug,Ministerstwo Finansów — Dług Publiczny,MF,ministry,2,https://dlugpubliczny.finanse.gov.pl,,none,,xlsx,monthly,"Public debt portal: Treasury bond auction results, yield curve, debt structure by instrument and holder type. Monthly Excel publications. No public API."
bgk,Bank Gospodarstwa Krajowego,BGK,ministry,2,https://www.bgk.pl,,none,,xlsx,quarterly,"State development bank: public investment loans, EU fund disbursements, guarantee schemes, housing programmes. Quarterly and annual reports. No public API."
ec_bcs,EC Business and Consumer Surveys,EC DG ECFIN,international_body,1,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys_en,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/download-business-and-consumer-survey-data/time-series_en,none,,csv,monthly,"European Commission economic sentiment indicator (ESI), business and consumer confidence surveys for all EU member states including Poland. API access via new data browser. Also available as XLSX/SDMX-CSV bulk downloads."
uokik,Urząd Ochrony Konkurencji i Konsumentów,UOKiK,regulator,2,https://www.uokik.gov.pl,,none,,xlsx,irregular,"Consumer market monitoring, price transparency reports, and competition enforcement decisions. File downloads. No public API."
cbop,Centralna Baza Ofert Pracy,MRPiPS,ministry,2,https://oferty.praca.gov.pl,,none,,json,daily,"Central job vacancies database from Polish public employment offices. Data exposed via dane.gov.pl. No documented standalone REST API."
pracuj_pl,Barometr Pracuj,Pracuj.pl,research,3,https://www.pracuj.pl,,none,,xlsx,irregular,"Periodic salary and labour market reports (Barometr Pracuj). Published 2–3 times per year as Excel/PDF. No API or raw data access. Covers salary ranges by role and region."
linkedin_eg,LinkedIn Economic Graph,LinkedIn,research,3,https://economicgraph.linkedin.com,,none,,html,irregular,"Published labour market insights: job posting trends, skills demand, hiring rates. No open API or raw data downloads. Reports and articles only. Poland covered as part of EU/EMEA."
gunb,Główny Urząd Nadzoru Budowlanego,GUNB,regulator,2,https://wyszukiwarka.gunb.gov.pl,,none,,csv,monthly,"Building permits and construction starts by type, region, and investor category. Downloadable as CSV. No public REST API."
pmi_pl,S&P Global PMI Poland,S&P Global,research,3,https://www.pmi.spglobal.com,,none,,html,monthly,"Purchasing Managers Index for Polish manufacturing and services. Monthly press releases with headline index and sub-indices. No raw data API — report/article format only."
un_comtrade,UN Comtrade,UN Statistics Division,international_body,1,https://comtradeplus.un.org,https://comtradeapi.un.org/public/v1,api_key,UN_COMTRADE_API_KEY,json,monthly,"International merchandise trade statistics by country, commodity (HS), and flow. Free subscription tier available. API key required after registration."
