detail_id,domain_id,detail_name,detail_unit,detail_frequency,domain_name,domain_group,default_agg
agr.agricultural_area_used,AGR,Agricultural Land in Use,thousand ha,annual,Agriculture & Forestry,Economy,AVG
agr.crop_area_arable,AGR,Arable Land Area,thousand ha,annual,Agriculture & Forestry,Economy,AVG
agr.crop_production_cereals,AGR,Cereal Production,thousand t,annual,Agriculture & Forestry,Economy,SUM
agr.crop_production_rapeseed,AGR,Rapeseed Production,thousand t,annual,Agriculture & Forestry,Economy,SUM
agr.livestock_cattle,AGR,Cattle Headcount,thousand head,biannual,Agriculture & Forestry,Economy,AVG
agr.livestock_pigs,AGR,Pig Headcount,thousand head,biannual,Agriculture & Forestry,Economy,AVG
agr.milk_production,AGR,Raw Cow's Milk Production,thousand t,monthly,Agriculture & Forestry,Economy,SUM
agr.milk_purchase_price,AGR,Raw Milk Purchase Price,PLN/100 l,monthly,Agriculture & Forestry,Economy,AVG
agr.pig_purchase_price,AGR,Pig Purchase Price,PLN/100 kg,monthly,Agriculture & Forestry,Economy,AVG
agr.soil_erosion_risk,AGR,Area at Risk of Water Erosion,thousand ha,annual,Agriculture & Forestry,Economy,AVG
agr.timber_harvest,AGR,Timber Harvest Volume,thousand m³,annual,Agriculture & Forestry,Economy,SUM
agr.wheat_purchase_price,AGR,Wheat Purchase Price,PLN/t,monthly,Agriculture & Forestry,Economy,AVG
bus.active_companies,BUS,Active Entities in REGON Register,count,monthly,Business & Industry,Economy,AVG
bus.company_deregistrations,BUS,Company Deregistrations,count,monthly,Business & Industry,Economy,SUM
bus.company_financials,BUS,Company Annual Financials (KRS),PLN,annual,Business & Industry,Economy,SUM
bus.company_registrations,BUS,New Company Registrations,count,monthly,Business & Industry,Economy,SUM
bus.company_registrations_sectoral,BUS,New Company Registrations by Sector,count,monthly,Business & Industry,Economy,SUM
bus.construction_completions,BUS,Dwellings Completed,count,monthly,Business & Industry,Economy,SUM
bus.construction_output_value,BUS,Construction Output Value,PLN mn,monthly,Business & Industry,Economy,SUM
bus.construction_permits,BUS,Building Permits Issued,count,monthly,Business & Industry,Economy,SUM
bus.construction_permits_area,BUS,Building Permits Floor Area,m²,monthly,Business & Industry,Economy,SUM
bus.enterprise_confidence,BUS,Enterprise Confidence Index (GUS),index,monthly,Business & Industry,Economy,AVG
bus.industrial_output_sectoral,BUS,Industrial Output Index by Section,index,monthly,Business & Industry,Economy,AVG
bus.pmi_manufacturing,BUS,Manufacturing PMI Poland,index,monthly,Business & Industry,Economy,AVG
clt.cinema_admissions,CLT,Cinema Admissions,million,annual,Culture Tourism & Sport,Society,SUM
clt.culture_expenditure_gdp,CLT,Public Culture Expenditure as % of GDP,%,annual,Culture Tourism & Sport,Society,AVG
clt.hotel_occupancy_rate,CLT,Hotel Bed Occupancy Rate,%,monthly,Culture Tourism & Sport,Society,AVG
clt.library_borrowings,CLT,Library Book Borrowings,million,annual,Culture Tourism & Sport,Society,SUM
clt.museum_visits,CLT,Museum Visits,thousand,annual,Culture Tourism & Sport,Society,SUM
clt.overnight_stays_domestic,CLT,Domestic Tourism Overnight Stays,thousand,monthly,Culture Tourism & Sport,Society,SUM
clt.sport_facilities_count,CLT,Sport Facilities Count,count,annual,Culture Tourism & Sport,Society,AVG
clt.tourism_revenue_intl,CLT,International Tourism Revenue,EUR mn,annual,Culture Tourism & Sport,Society,SUM
clt.tourist_arrivals_intl,CLT,International Tourist Arrivals,thousand persons,annual,Culture Tourism & Sport,Society,SUM
crm.court_cases_filed,CRM,Court Cases Filed,count,annual,Crime & Justice,Society,SUM
crm.court_cases_resolved,CRM,Court Cases Resolved,count,annual,Crime & Justice,Society,SUM
crm.court_pending_backlog,CRM,Court Pending Case Backlog,count,annual,Crime & Justice,Society,AVG
crm.crime_rate,CRM,Crime Rate,per 100k,annual,Crime & Justice,Society,AVG
crm.crime_regional,CRM,Detected Crimes by Voivodeship,count,annual,Crime & Justice,Society,SUM
crm.crime_total,CRM,Total Detected Crimes,count,annual,Crime & Justice,Society,SUM
crm.cybercrime,CRM,Cybercrime Offences,count,annual,Crime & Justice,Society,SUM
crm.domestic_violence_incidents,CRM,Domestic Violence Incidents (Niebieska Karta),count,annual,Crime & Justice,Society,SUM
crm.prison_population,CRM,Prison Population,count,monthly,Crime & Justice,Society,AVG
crm.road_accidents,CRM,Road Accidents,count,monthly,Crime & Justice,Society,SUM
crm.theft_total,CRM,Theft and Burglary Offences,count,annual,Crime & Justice,Society,SUM
crm.violent_crime,CRM,Violent Crime Offences,count,annual,Crime & Justice,Society,SUM
edu.academic_staff_count,EDU,Academic Staff in Higher Education,count,annual,Education,Society,AVG
edu.early_school_leavers,EDU,Early School Leavers Rate,%,annual,Education,Society,AVG
edu.education_expenditure_gdp,EDU,Public Education Expenditure as % of GDP,%,annual,Education,Society,AVG
edu.matura_pass_rate,EDU,Matura Exam Pass Rate,%,annual,Education,Society,AVG
edu.phd_candidates,EDU,PhD Candidates,count,annual,Education,Society,AVG
edu.school_enrolment_primary,EDU,Primary School Enrolment,count,annual,Education,Society,AVG
edu.school_enrolment_secondary,EDU,Secondary School Enrolment,count,annual,Education,Society,AVG
edu.school_enrolment_tertiary,EDU,Tertiary Education Enrolment,count,annual,Education,Society,AVG
edu.teachers_count,EDU,Employed Teachers (Primary + Secondary),count,annual,Education,Society,AVG
edu.tertiary_attainment_rate,EDU,Tertiary Education Attainment Rate (30-34),%,annual,Education,Society,AVG
edu.university_count,EDU,Active Higher Education Institutions,count,annual,Education,Society,AVG
ene.electricity_consumption_total,ENE,Total Electricity Consumption,GWh,monthly,Energy,Economy,SUM
ene.electricity_mix_coal,ENE,Hard Coal Share in Electricity Mix,%,monthly,Energy,Economy,AVG
ene.electricity_mix_lignite,ENE,Lignite Share in Electricity Mix,%,monthly,Energy,Economy,AVG
ene.electricity_mix_renewables,ENE,Total Renewables Share in Electricity Mix,%,monthly,Energy,Economy,AVG
ene.electricity_mix_solar,ENE,Solar PV Share in Electricity Mix,%,monthly,Energy,Economy,AVG
ene.electricity_mix_wind,ENE,Wind Power Share in Electricity Mix,%,monthly,Energy,Economy,AVG
ene.electricity_price_day_ahead,ENE,Day-Ahead Electricity Price (TGE BASE),PLN/MWh,daily,Energy,Economy,AVG
ene.electricity_production_total,ENE,Total Electricity Production,GWh,monthly,Energy,Economy,SUM
ene.energy_intensity,ENE,Energy Intensity of GDP,toe/EUR mn,annual,Energy,Economy,AVG
ene.natural_gas_consumption,ENE,Natural Gas Consumption,million m³,monthly,Energy,Economy,SUM
ene.natural_gas_storage_level,ENE,Natural Gas Storage Level,%,daily,Energy,Economy,AVG
ene.renewable_capacity_installed,ENE,Installed Renewable Capacity,MW,monthly,Energy,Economy,AVG
ene.solar_capacity_installed,ENE,Installed Solar PV Capacity,MW,monthly,Energy,Economy,AVG
ene.wind_capacity_installed,ENE,Installed Wind Capacity,MW,monthly,Energy,Economy,AVG
env.air_quality_index_cities,ENV,Air Quality Index — Major Cities,index,daily,Environment & Climate,Environment,AVG
env.bathing_water_quality,ENV,Excellent Bathing Water Quality Share,%,annual,Environment & Climate,Environment,AVG
env.forest_area,ENV,Forest Area,thousand ha,annual,Environment & Climate,Environment,AVG
env.ghg_emissions_sectoral,ENV,GHG Emissions by Sector,million t CO2eq,annual,Environment & Climate,Environment,SUM
env.ghg_emissions_total,ENV,Total GHG Emissions,million t CO2eq,annual,Environment & Climate,Environment,SUM
env.municipal_waste_generated,ENV,Municipal Waste Generated Per Capita,kg/capita,annual,Environment & Climate,Environment,AVG
env.municipal_waste_recycling_rate,ENV,Municipal Waste Recycling Rate,%,annual,Environment & Climate,Environment,AVG
env.pm10_annual_mean,ENV,PM10 Annual Mean Concentration,µg/m³,annual,Environment & Climate,Environment,AVG
env.pm25_annual_mean,ENV,PM2.5 Annual Mean Concentration,µg/m³,annual,Environment & Climate,Environment,AVG
env.pm25_station,ENV,PM2.5 Hourly Measurement (Station),µg/m³,real_time,Environment & Climate,Environment,AVG
env.precipitation_anomaly,ENV,Annual Precipitation Anomaly,%,annual,Environment & Climate,Environment,AVG
env.renewable_energy_share,ENV,Renewable Energy Share in Final Consumption,%,annual,Environment & Climate,Environment,AVG
env.temperature_anomaly,ENV,Annual Mean Temperature Anomaly,°C,annual,Environment & Climate,Environment,AVG
env.water_abstractions,ENV,Freshwater Abstractions,million m³,annual,Environment & Climate,Environment,SUM
fin.banking_capital_ratio,FIN,Banking Sector Capital Adequacy Ratio,%,quarterly,Financial Markets,Economy,AVG
fin.banking_npl_ratio,FIN,Banking Sector NPL Ratio,%,quarterly,Financial Markets,Economy,AVG
fin.bond_yield_10y,FIN,10Y Government Bond Yield,%,daily,Financial Markets,Economy,AVG
fin.bond_yield_2y,FIN,2Y Government Bond Yield,%,daily,Financial Markets,Economy,AVG
fin.exchange_rate_chf_pln,FIN,CHF/PLN Exchange Rate,PLN,daily,Financial Markets,Economy,AVG
fin.exchange_rate_eur_pln,FIN,EUR/PLN Exchange Rate,PLN,daily,Financial Markets,Economy,AVG
