detail_id,source_id,geo_levels,year_from,year_to,coverage_notes,series_id,verified
fin.exchange_rate_usd_pln,nbp,country,2002,,NBP Table A mid-rates; daily fixing.,exchangerates/rates/A/USD,true
fin.exchange_rate_usd_pln,ecb,country,1999,,ECB reference rates via SDMX; EUR/PLN base — USD/PLN derived,,false
fin.exchange_rate_eur_pln,nbp,country,2004,,NBP Table A mid-rates daily. Pre-2004 as EEK/DEM legacy reference.,exchangerates/rates/A/EUR,true
fin.exchange_rate_eur_pln,ecb,country,1999,,ECB EUR/PLN reference rate; direct series,,false
fin.exchange_rate_chf_pln,nbp,country,2002,,NBP Table A mid-rates daily.,exchangerates/rates/A/CHF,true
fin.exchange_rate_chf_pln,ecb,country,1999,,ECB reference rate CHF/EUR cross used for CHF/PLN derivation,,false
fin.exchange_rate_gbp_pln,nbp,country,2002,,NBP Table A mid-rates daily.,exchangerates/rates/A/GBP,true
fin.exchange_rate_gbp_pln,ecb,country,1999,,ECB reference rate GBP/EUR cross,,false
fin.reference_rate,nbp,country,1998,,RPP decision dates; NOT on NBP REST API — published as file on NBP website (nbp.pl/en/monetary-policy/rpp). Needs manual verification.,,false
fin.reference_rate,ecb,country,1999,,ECB tracks Polish rate in euro area comparison datasets,,false
fin.wibor_1m,gpw_benchmark,country,2010,,Primary fixing administrator; WIBID/WIBOR daily files,,false
fin.wibor_1m,nbp,country,1993,,NBP historical WIBOR archive (pre-GPW Benchmark era),,false
fin.wibor_3m,gpw_benchmark,country,2010,,Primary fixing administrator; key mortgage benchmark rate,,false
fin.wibor_3m,nbp,country,1993,,NBP historical archive,,false
fin.wibor_6m,gpw_benchmark,country,2010,,Daily fixing file,,false
fin.wibor_6m,nbp,country,1993,,NBP historical archive,,false
fin.wig20_index,gpw,country,1994,,WIG20 daily close; GPW website CSV/XLS download,,false
fin.wig_index,gpw,country,1991,,WIG total-return index daily close,,false
fin.bond_yield_10y,mf_dlug,country,2000,,Secondary market benchmark yield; MF debt portal publications,,false
fin.bond_yield_10y,ecb,country,2004,,Eurostat long-term interest rates (convergence criterion) for Poland,,false
fin.bond_yield_10y,bis,country,2000,,BIS debt securities statistics,,false
fin.bond_yield_2y,mf_dlug,country,2000,,Secondary market 2Y benchmark yield,,false
fin.bond_yield_2y,ecb,country,2004,,ECB / Eurostat short-term rates series,,false
fin.banking_npl_ratio,knf,country,2004,,KNF quarterly banking sector data; Polish-only reporting,,false
fin.banking_npl_ratio,ecb,country,2014,,ECB supervisory statistics (SSM adjacent); EU comparable series,,false
fin.banking_capital_ratio,knf,country,2004,,KNF quarterly capital adequacy; Basel III from 2014,,false
fin.banking_capital_ratio,ecb,country,2014,,ECB supervisory statistics (TCR),,false
fin.stock_price,gpw,country,1994,,GPW historical prices per ISIN; CSV download per equity,,false
fin.stock_volume,gpw,country,1994,,GPW daily trading volume per ISIN,,false
fin.tge_electricity_price,tge,country,2010,,TGE day-ahead BASE product closing price; daily XLSX download,,false
pub.state_budget_revenue,mf,country,2005,,MF monthly budget execution report (Sprawozdanie z wykonania budżetu),,false
pub.state_budget_expenditure,mf,country,2005,,MF monthly report; year-to-date cumulative,,false
pub.state_budget_balance,mf,country,2005,,Surplus/deficit derived from revenue − expenditure,,false
pub.public_debt_total,mf_dlug,country,2000,,EDP methodology; quarterly and annual; MF public debt portal,,false
pub.public_debt_total,eurostat,country,2004,,Eurostat government finance statistics (EDP notification tables),gov_10dd_edpt1?geo=PL&na_item=GD&sector=S13&unit=MIO_EUR,true
pub.public_debt_gdp,mf_dlug,country,2000,,Calculated by MF as EDP debt / GDP,,false
