detail_id,primary_source_id
agr.agricultural_area_used,eurostat
agr.crop_area_arable,eurostat
agr.crop_production_cereals,eurostat
bus.industrial_output_sectoral,eurostat
clt.hotel_occupancy_rate,eurostat
clt.overnight_stays_domestic,eurostat
clt.tourist_arrivals_intl,eurostat
crm.crime_rate,eurostat
crm.prison_population,eurostat
crm.violent_crime,eurostat
edu.early_school_leavers,eurostat
edu.phd_candidates,eurostat
edu.school_enrolment_tertiary,eurostat
edu.tertiary_attainment_rate,eurostat
ene.energy_intensity,eurostat
env.ghg_emissions_total,eurostat
env.municipal_waste_generated,eurostat
env.renewable_energy_share,eurostat
env.water_abstractions,eurostat
fin.exchange_rate_chf_pln,nbp
fin.exchange_rate_eur_pln,nbp
fin.exchange_rate_gbp_pln,nbp
fin.exchange_rate_usd_pln,nbp
hlt.cardiovascular_mortality,eurostat
hlt.hospital_bed_density,eurostat
hlt.infant_mortality_rate,eurostat
hlt.life_expectancy_f,eurostat
hlt.life_expectancy_m,eurostat
hlt.obesity_rate,eurostat
lab.activity_rate,eurostat
lab.employed_total,eurostat
lab.employment_rate,eurostat
lab.job_vacancies,eurostat
lab.minimum_wage,eurostat
lab.unemployment_rate,eurostat
lab.vacancy_rate,eurostat
lab.wage_growth,eurostat
lab.youth_unemployment_rate,eurostat
mac.current_account_balance,eurostat
mac.current_account_gdp,eurostat
mac.gdp_nominal,eurostat
mac.gdp_per_capita_regional,eurostat
mac.gdp_real_growth,eurostat
mac.gross_fixed_capital_formation_growth,eurostat
mac.industrial_output_growth,eurostat
pop.births,eurostat
pop.deaths,eurostat
pop.life_expectancy_f,eurostat
pop.life_expectancy_m,eurostat
pop.population_regional,eurostat
pop.population_total,eurostat
prc.cpi_energy,eurostat
prc.cpi_food,eurostat
prc.cpi_total,eurostat
pub.public_debt_gdp,eurostat
pub.public_debt_total,eurostat
sci.digital_public_services,eurostat
sci.ecommerce_participation,eurostat
sci.internet_usage_rate,eurostat
sci.patent_applications,eurostat
sci.rd_expenditure_gdp,eurostat
sci.rd_expenditure_total,eurostat
sci.researchers_count,eurostat
soc.childcare_coverage_0_3,eurostat
soc.gini_coefficient,eurostat
soc.household_income_avg,eurostat
soc.minimum_wage,eurostat
soc.poverty_rate,eurostat
soc.severe_material_deprivation,eurostat
trd.exports_by_country,eurostat
trd.exports_goods_total,eurostat
trd.imports_by_country,eurostat
trd.imports_goods_total,eurostat
trd.trade_balance_goods,eurostat
trp.freight_rail_volume,eurostat
trp.freight_road_volume,eurostat
trp.passenger_rail_volume,eurostat
