detail_id,domain_id,dataset_code,dimension_key
agr.agricultural_area_used,AGR,ef_m_farmleg,
agr.crop_area_arable,AGR,ef_m_farmleg,
agr.crop_production_cereals,AGR,apro_cpsh1,crops=C1100&strucpro=PR_HU_EU
bus.industrial_output_sectoral,BUS,sts_inpr_a,nace_r2=B-D&s_adj=CA&unit=PCH_PRE
clt.hotel_occupancy_rate,CLT,tour_occ_nim,c_resid=TOTAL&nace_r2=I551-I553&unit=NR
clt.overnight_stays_domestic,CLT,tour_occ_nim,c_resid=R_DOM&nace_r2=I551-I553&unit=NR
clt.tourist_arrivals_intl,CLT,tour_occ_arm,c_resid=FOR&nace_r2=I551-I553&unit=NR
crm.crime_rate,CRM,crim_gen_reg,iccs=ICCS0101&unit=P_HTHAB
crm.prison_population,CRM,crim_pris_pop,unit=NR
crm.violent_crime,CRM,crim_gen,iccs=ICCS0101&unit=NR
edu.early_school_leavers,EDU,edat_lfse_14,age=Y18-24&sex=T&unit=PC&wstatus=POP
edu.phd_candidates,EDU,educ_uoe_enrt01,isced11=ED8&sector=TOT_SEC&sex=T&unit=NR&worktime=TOTAL
edu.school_enrolment_tertiary,EDU,educ_uoe_enrt01,isced11=ED5-8&sector=TOT_SEC&sex=T&unit=NR&worktime=TOTAL
edu.tertiary_attainment_rate,EDU,edat_lfse_03,age=Y30-34&isced11=ED5-8&sex=T&unit=PC
ene.energy_intensity,ENE,sdg_07_30,unit=EUR_KGOE
env.ghg_emissions_total,ENV,env_air_gge,airpol=GHG&src_crf=TOTXMEMO&unit=MIO_T
env.municipal_waste_generated,ENV,env_wasmun,unit=KG_HAB&wst_oper=GEN
env.renewable_energy_share,ENV,nrg_ind_ren,nrg_bal=REN&unit=PC
env.water_abstractions,ENV,env_wat_abs,unit=MIO_M3&wat_proc=ABST&wat_src=FRW
hlt.cardiovascular_mortality,HLT,hlth_cd_anr,age=TOTAL&sex=T&unit=NR
hlt.hospital_bed_density,HLT,hlth_rs_bds,facility=HBEDT&unit=P_HTHAB
hlt.infant_mortality_rate,HLT,demo_minfind,unit=RT
hlt.life_expectancy_f,HLT,demo_mlexpec,age=Y_LT1&sex=F
hlt.life_expectancy_m,HLT,demo_mlexpec,age=Y_LT1&sex=M
hlt.obesity_rate,HLT,hlth_ehis_bm1i,age=TOTAL&bmi=BMI_GE30&sex=T&unit=PC
lab.activity_rate,LAB,lfsa_argan,age=Y15-74&citizen=TOTAL&sex=T&unit=PC
lab.employed_total,LAB,lfsa_egan,age=Y15-74&citizen=TOTAL&sex=T&unit=THS_PER
lab.employment_rate,LAB,lfsa_ergan,age=Y20-64&citizen=TOTAL&sex=T&unit=PC
lab.job_vacancies,LAB,jvs_a_nace2,indic_em=JOBVAC&isco08=TOTAL&nace_r2=B-S&sizeclas=TOTAL
lab.minimum_wage,LAB,earn_mw_cur,currency=EUR
lab.unemployment_rate,LAB,une_rt_a,age=Y15-74&sex=T&unit=PC_ACT
lab.vacancy_rate,LAB,jvs_a_nace2,indic_em=JVR&isco08=TOTAL&nace_r2=B-S&sizeclas=TOTAL
lab.wage_growth,LAB,lc_lci_r2_a,lcstruct=D1_D4_MD5&nace_r2=B-S&unit=PCH_PRE
lab.youth_unemployment_rate,LAB,yth_empl_090,age=Y15-24&isced11=TOTAL&sex=T&unit=PC
mac.current_account_balance,MAC,bop_c6_q,bop_item=CA&currency=MIO_EUR&sector10=S1&sectpart=S1&stk_flow=BAL
mac.current_account_gdp,MAC,bop_gdp6_q,bop_item=CA&s_adj=NSA&stk_flow=BAL
mac.gdp_nominal,MAC,nama_10_gdp,na_item=B1GQ&unit=CP_MEUR
mac.gdp_per_capita_regional,MAC,nama_10r_2gdp,unit=EUR_HAB
mac.gdp_real_growth,MAC,tec00115,na_item=B1GQ&unit=CLV_PCH_PRE
mac.gross_fixed_capital_formation_growth,MAC,tec00011,na_item=P51G&unit=PC_GDP
mac.industrial_output_growth,MAC,sts_inpr_a,nace_r2=B-D&s_adj=CA&unit=PCH_PRE
pop.births,POP,demo_gind,indic_de=GBIRTHRT
pop.deaths,POP,demo_gind,indic_de=GDEATHRT
pop.life_expectancy_f,POP,demo_mlexpec,age=Y_LT1&sex=F
pop.life_expectancy_m,POP,demo_mlexpec,age=Y_LT1&sex=M
pop.population_regional,POP,demo_r_pjanaggr3,age=TOTAL&sex=T
pop.population_total,POP,demo_gind,indic_de=JAN
prc.cpi_energy,PRC,prc_hicp_aind,coicop=CP04&unit=INX_A_AVG
prc.cpi_food,PRC,prc_hicp_aind,coicop=CP01&unit=INX_A_AVG
prc.cpi_total,PRC,prc_hicp_aind,coicop=CP00&unit=RCH_A_AVG
pub.public_debt_gdp,PUB,gov_10dd_edpt1,na_item=GD&sector=S13&unit=PC_GDP
pub.public_debt_total,PUB,gov_10dd_edpt1,na_item=GD&sector=S13&unit=MIO_EUR
sci.digital_public_services,SCI,isoc_ci_ac_i,ind_type=IND_TOTAL&unit=PC_IND
sci.ecommerce_participation,SCI,isoc_ec_ibuy,ind_type=IND_TOTAL&unit=PC_IND
sci.internet_usage_rate,SCI,isoc_ci_ifp_iu,ind_type=IND_TOTAL&unit=PC_IND
